ant	small	YES
jeans	casual	YES
blueberry	pickled	NO
mole	short-sighted	YES
chandelier	heavy	YES
elk	domestic	NO
toad	green	NO
shed	small	YES
cap	wonderful	NO
shack	run-down	YES
dish	round	NO
octopus	large	NO
grater	small	NO
cougar	dangerous	YES
beets	edible	YES
pearl	white	NO
football	oval	YES
hook	sharp	NO
lamp	electrical	YES
asparagus	long	YES
tape	wonderful	NO
carrot	orange	YES
prune	dried	YES
peas	yellow	NO
ball	round	YES
grapefruit	large	NO
bomb	unexploded	NO
fawn	graceful	NO
elk	great	NO
willow	brown	NO
bucket	round	YES
gorilla	tame	NO
bazooka	massive	NO
cherry	small	YES
donkey	brown	NO
rocket	round	YES
mirror	wonderful	NO
cherry	delicious	YES
moose	brown	NO
canoe	wooden	NO
whale	large	YES
octopus	ugly	YES
missile	fast	YES
blueberry	superb	NO
starling	black	NO
grape	edible	YES
tank	heavy	YES
robe	warm	NO
sweater	warm	YES
shack	dirty	YES
banana	long	YES
radio	electrical	YES
jet	wrong	NO
horse	fast	YES
tangerine	orange	YES
pie	edible	YES
corn	yellow	NO
stool	small	NO
harp	large	YES
rifle	loud	YES
perch	slimy	YES
pistol	loud	YES
emu	white	NO
coconut	whole	NO
goldfish	gold	NO
orange	citrus	YES
cod	edible	YES
beaver	young	NO
bat	black	NO
surfboard	flat	YES
tiger	dangerous	YES
peach	orange	NO
nightgown	long	NO
scooter	fast	NO
celery	wild	NO
fox	fast	NO
skillet	medium	NO
microwave	small	NO
horse	strong	YES
pin	ugly	NO
cauliflower	nutritious	YES
blackbird	black	YES
fork	weak	NO
freezer	large	NO
brick	yellowish	NO
harmonica	small	YES
eel	dangerous	NO
shack	white	NO
escalator	electrical	YES
mirror	wide	NO
cherry	red	NO
crayon	breakable	YES
cottage	small	YES
goose	edible	YES
spear	verbal	NO
chickadee	black	NO
gown	elegant	NO
emu	large	YES
helmet	hard	YES
belt	decorative	NO
housefly	killed	NO
mirror	shiny	YES
grasshopper	edible	YES
eggplant	African	NO
bread	edible	YES
axe	worn	NO
bagpipe	loud	YES
sledgehammer	large	YES
pyramid	mysterious	NO
earmuffs	fluffy	NO
gopher	brown	YES
cannon	loud	YES
apple	nutritious	YES
bread	brown	NO
board	hard	YES
octopus	edible	YES
missile	long	YES
partridge	red	NO
strawberry	edible	YES
cork	brown	YES
potato	young	NO
tape	yellowy	NO
pine	yellow	NO
bat	nocturnal	YES
helmet	yellow	NO
orange	orange	YES
vine	long	YES
panther	fast	YES
sleigh	fun	YES
vine	green	YES
turnip	white	NO
bazooka	large	NO
platypus	furry	YES
grape	green	NO
bow	red	NO
bow	long	NO
missile	destructive	YES
clam	little	NO
dresser	heavy	YES
pipe	long	NO
cedar	traditional	NO
panther	sleek	YES
spinach	stewed	NO
marble	real	NO
beaver	small	NO
drum	round	YES
crowbar	unwanted	NO
skyscraper	tall	YES
gun	young	NO
microwave	electrical	YES
spinach	sautéed	NO
catapult	medieval	YES
nectarine	smooth	YES
bomb	loud	YES
jacket	yellow	NO
elephant	large	YES
rope	twisted	YES
broccoli	transplanted	NO
horse	large	NO
cabbage	nutritious	YES
sandpaper	regular	NO
chandelier	electrical	YES
scarf	soft	YES
shack	old-fashioned	NO
otter	brown	YES
spinach	new	NO
celery	edible	YES
grasshopper	little	NO
dolphin	cute	NO
bow	curved	YES
spear	thin	NO
ambulance	orange	NO
stool	round	YES
leotards	yellow	NO
wall	flat	NO
emerald	beautiful	YES
shotgun	dangerous	YES
pickle	treble	NO
wand	magical	YES
marble	colourful	NO
rhubarb	softened	NO
plate	round	YES
bazooka	destructive	YES
rifle	useless	NO
pencil	erasable	YES
radish	red	NO
bison	furry	YES
orange	young	NO
lamb	soft	YES
toilet	white	YES
pig	utter	NO
cake	edible	YES
coconut	white	YES
grasshopper	green	YES
crocodile	white	NO
seaweed	long	NO
coconut	young	NO
motorcycle	dangerous	NO
shotgun	rhetorical	NO
fan	young	NO
rattlesnake	green	NO
cathedral	large	YES
tray	rectangular	NO
ball	hard	NO
sofa	soft	NO
tack	small	YES
crown	round	YES
camisole	sexy	NO
sword	sharp	YES
beets	purple	NO
rock	solid	YES
fawn	beautiful	YES
peas	small	YES
celery	late	NO
cockroach	hard	YES
board	long	NO
jeans	blue	NO
walrus	grey	NO
parakeet	small	YES
cheetah	yellow	YES
grenade	third	NO
bayonet	sharp	YES
tent	portable	YES
rattlesnake	dangerous	YES
crayon	purple	NO
banana	soft	NO
knife	dangerous	NO
marble	polished	NO
sardine	unadorned	NO
hamster	brown	NO
pearl	small	NO
tangerine	muted	NO
urn	decorative	NO
lettuce	leafy	YES
pajamas	warm	NO
bouquet	colourful	YES
bus	loud	YES
tangerine	citrus	YES
honeydew	juicy	YES
sandpaper	brown	NO
pie	round	YES
chandelier	expensive	NO
blender	electronic	YES
grasshopper	pretty	NO
raspberry	edible	YES
cap	round	YES
cabin	small	NO
spear	very	NO
tortoise	green	NO
tractor	large	NO
mandarin	yellow	NO
peas	tough	NO
blueberry	edible	YES
saucer	shallow	NO
ashtray	smelly	YES
oak	hard	YES
walrus	fat	YES
spear	wooden	NO
blender	wet	NO
squirrel	small	YES
broccoli	nutritious	YES
grapefruit	citrus	YES
missile	nuclear	NO
banana	healthy	YES
snail	edible	NO
banana	edible	YES
slippers	fuzzy	NO
sledgehammer	heavy	YES
nectarine	small	NO
celery	nutritious	YES
biscuit	edible	YES
dresser	rectangular	YES
bear	large	YES
pipe	walled	NO
bouquet	pretty	YES
cucumber	single	NO
revolver	dangerous	YES
blouse	feminine	YES
pie	whole	NO
tiger	wild	NO
mink	occasional	NO
walnut	small	NO
celery	shredded	NO
crow	ugly	NO
pencil	long	NO
rifle	universal	NO
sword	dangerous	YES
pencil	sharpened	YES
turnip	wild	NO
leopard	young	NO
beans	yellow	NO
vine	white	NO
mink	soft	YES
rope	long	NO
trombone	long	YES
pin	small	YES
spear	long	YES
grenade	round	YES
zucchini	accompanying	NO
gopher	own	NO
lion	ferocious	NO
clam	hard	YES
crowbar	black	YES
rat	frightening	NO
faucet	right	NO
lime	zingy	NO
door	rectangular	YES
rifle	dangerous	YES
earmuffs	warm	YES
cranberry	red	NO
shell	wiry	NO
grape	round	YES
tie	thin	NO
bat	blind	NO
walnut	crunchy	YES
limousine	unique	NO
skyscraper	new	NO
moth	brown	NO
belt	long	YES
pumpkin	whole	NO
cougar	fast	YES
bayonet	long	YES
chipmunk	tiny	NO
sled	fast	NO
caribou	fast	NO
cigarette	smelly	YES
cheetah	furry	YES
cabbage	edible	YES
peacock	blue	NO
