NOUN,QUERY,PREDICTIONS,,,,,,,,,
motorcycle,most motorcycles are [MASK].,electric,motorcycles,small,smaller,manual,hybrids,lightweight,amphibious,quieter,sold
,,1,0,0,0,0,0,0,0,0,0
cougar,most cougars are [MASK].,nocturnal,male,female,white,tame,aggressive,silent,solitary,territorial,shy
,,0,1,1,0,1,1,0,0,0,0
wand,most wands are [MASK].,short,small,portable,sharp,bladed,invisible,electric,used,heavy,wooden
,,0,0,1,1,1,0,0,0,0,1
butterfly,most butterflies are [MASK].,nocturnal,white,black,solitary,brown,green,small,rare,large,blue
,,0,1,1,0,1,1,0,0,0,1
couch,most couches are [MASK].,leather,comfortable,empty,uncomfortable,white,green,occupied,beige,soft,black
,,1,1,0,1,1,1,0,1,1,1
bread,bread is [MASK].,good,cold,baked,made,hot,delicious,cooked,bread,free,warm
,,0,0,1,0,1,1,1,0,0,1
yam,most yams are [MASK].,edible,green,poisonous,eaten,black,yellow,white,vegetarian,toxic,bitter
,,1,0,1,0,0,1,1,0,0,0
inn,most inns are [MASK].,closed,small,free,open,private,smaller,public,empty,unmanned,nearby
,,0,0,0,0,1,0,1,0,1,0
rice,rice is [MASK].,grown,available,good,eaten,produced,used,common,cultivated,consumed,recommended
,,0,0,0,0,0,0,0,0,0,0
saucer,most saucers are [MASK].,spherical,smaller,small,portable,hollow,large,larger,empty,white,plastic
,,0,0,1,1,1,0,0,0,1,1
porcupine,most porcupines are [MASK].,nocturnal,solitary,small,large,white,smaller,terrestrial,black,territorial,blind
,,1,0,1,0,0,0,0,1,0,0
spear,most spears are [MASK].,curved,wooden,short,long,bladed,hollow,small,sharp,poisonous,broken
,,0,1,1,1,1,0,0,1,0,0
cellar,most cellars are [MASK].,underground,empty,vaulted,dry,flooded,full,private,open,covered,abandoned
,,1,1,1,1,0,1,1,0,0,0
rope,most ropes are [MASK].,used,thick,lightweight,heavy,thin,nylon,flexible,long,tight,short
,,0,1,0,0,1,1,1,1,0,1
box,most boxes are [MASK].,empty,closed,wooden,black,open,flat,white,hollow,plastic,small
,,1,0,1,1,0,0,1,1,1,0
apple,most apples are [MASK].,edible,green,yellow,white,red,black,poisonous,ripe,sour,eaten
,,1,1,1,0,1,0,1,1,1,0
banjo,most banjos are [MASK].,bowed,homemade,plucked,acoustic,tuned,electric,strung,used,wooden,banjo
,,1,0,1,1,0,1,0,0,1,0
parakeet,most parakeets are [MASK].,nocturnal,solitary,white,small,green,shy,blue,black,territorial,smaller
,,0,0,0,0,1,0,1,0,0,0
ambulance,most ambulances are [MASK].,private,unmarked,free,available,covered,motorized,staffed,mobile,volunteer,red
,,1,0,0,0,0,0,1,0,0,0
socks,most socks are [MASK].,white,black,optional,worn,red,green,blue,brown,cotton,yellow
,,1,1,0,0,1,1,1,1,1,1
dandelion,most dandelions are [MASK].,edible,poisonous,yellow,white,green,toxic,black,purple,bisexual,red
,,0,0,1,1,1,0,0,0,0,0
taxi,most taxis are [MASK].,private,taxis,local,small,yellow,free,taxi,registered,automated,black
,,1,0,1,0,1,0,0,0,0,1
jacket,most jackets are [MASK].,black,white,lightweight,optional,blue,leather,green,tweed,brown,comfortable
,,1,1,1,0,1,1,1,1,1,1
wheelbarrow,most wheelbarrows are [MASK].,portable,powered,manual,hollow,wooden,smaller,heavy,used,wheels,wheeled
